svmcoef,  old_accuracy,  old_precision,  old_recall,  learning_time,  new_accuracy,  new_precision,  new_recall,  attack_time
1.023292992280754,  0.883035282745,  0.959568733154,  0.61063464837,  104.98582783341408,  0.718221362977,  0.0,  0.0,  53.85353880375624
2.149107127572609,  0.874818753021,  0.973684210526,  0.571183533448,  105.97118262201548,  0.718221362977,  0.0,  0.0,  52.464303992688656
4.513527875813106,  0.905268245529,  0.970802919708,  0.684391080617,  105.51928426325321,  0.718221362977,  0.0,  0.0,  52.8200516179204
9.479254721355762,  0.948767520541,  0.910499139415,  0.907375643225,  108.29938212782145,  0.281778637023,  0.281778637023,  1.0,  53.17154657095671
19.908212055997996,  0.596906718221,  0.411432604093,  1.0,  107.43470035493374,  0.281778637023,  0.281778637023,  1.0,  51.51248601078987
41.81097764718556,  0.281778637023,  0.281778637023,  1.0,  123.74439570307732,  0.281778637023,  0.281778637023,  1.0,  45.06595604121685
87.8108916509537,  0.281778637023,  0.281778637023,  1.0,  108.47373241186142,  0.281778637023,  0.281778637023,  1.0,  52.84935937076807
184.41933497947196,  0.281778637023,  0.281778637023,  1.0,  106.34444946050644,  0.281778637023,  0.281778637023,  1.0,  53.04084964096546
387.3151778194171,  0.281778637023,  0.281778637023,  1.0,  96.74240654706955,  0.281778637023,  0.281778637023,  1.0,  58.15616036206484
813.4344860639744,  0.281778637023,  0.281778637023,  1.0,  98.08753984421492,  0.281778637023,  0.281778637023,  1.0,  57.83515117317438
1708.3649208982551,  0.281778637023,  0.281778637023,  1.0,  94.74826932698488,  0.281778637023,  0.281778637023,  1.0,  59.03260961174965
3587.8866128208,  0.281778637023,  0.281778637023,  1.0,  91.99896591901779,  0.281778637023,  0.281778637023,  1.0,  61.51612212508917
7535.234532730953,  0.281778637023,  0.281778637023,  1.0,  85.15110572427511,  0.281778637023,  0.281778637023,  1.0,  63.31444362550974
15825.405201035815,  0.281778637023,  0.281778637023,  1.0,  83.05164078623056,  0.281778637023,  0.281778637023,  1.0,  63.410499058663845
33236.31781985219,  0.281778637023,  0.281778637023,  1.0,  79.57887436449528,  0.281778637023,  0.281778637023,  1.0,  63.08147011697292
69802.49846303601,  0.281778637023,  0.281778637023,  1.0,  73.35819218307734,  0.281778637023,  0.281778637023,  1.0,  68.83310509473085
146598.3331273793,  0.281778637023,  0.281778637023,  1.0,  69.59608011692762,  0.281778637023,  0.281778637023,  1.0,  67.53827383369207
307883.98336639337,  0.281778637023,  0.281778637023,  1.0,  79.35551619529724,  0.281778637023,  0.281778637023,  1.0,  64.15179026126862
646614.0861996863,  0.281778637023,  0.281778637023,  1.0,  73.03730239719152,  0.281778637023,  0.281778637023,  1.0,  66.49293112009764
1358010.8062142655,  0.281778637023,  0.281778637023,  1.0,  82.7825258076191,  0.281778637023,  0.281778637023,  1.0,  62.372528821229935
2852077.2886862205,  0.281778637023,  0.281778637023,  1.0,  83.52992230653763,  0.281778637023,  0.281778637023,  1.0,  64.47586128115654
5989897.004808012,  0.281778637023,  0.281778637023,  1.0,  82.85496120154858,  0.281778637023,  0.281778637023,  1.0,  62.25400934368372
12579906.677331042,  0.281778637023,  0.281778637023,  1.0,  74.02354963868856,  0.281778637023,  0.281778637023,  1.0,  64.66584627330303
26420162.46411744,  0.281778637023,  0.281778637023,  1.0,  78.36729429662228,  0.281778637023,  0.281778637023,  1.0,  63.23660009354353
55487294.34441666,  0.281778637023,  0.281778637023,  1.0,  87.03273744881153,  0.281778637023,  0.281778637023,  1.0,  61.370728977024555
116533720.70839691,  0.281778637023,  0.281778637023,  1.0,  84.88805088400841,  0.281778637023,  0.281778637023,  1.0,  64.05117988586426
244742660.8666338,  0.281778637023,  0.281778637023,  1.0,  87.81113420426846,  0.281778637023,  0.281778637023,  1.0,  62.67928560823202
514005471.4117102,  0.281778637023,  0.281778637023,  1.0,  89.11489553004503,  0.281778637023,  0.281778637023,  1.0,  62.788472063839436
1079507854.1094406,  0.281778637023,  0.281778637023,  1.0,  81.296864785254,  0.281778637023,  0.281778637023,  1.0,  65.33806464076042
2267168876.4000583,  0.281778637023,  0.281778637023,  1.0,  91.3031376004219,  0.281778637023,  0.281778637023,  1.0,  60.68120253831148
4761479682.199702,  0.281778637023,  0.281778637023,  1.0,  89.69841293990612,  0.281778637023,  0.281778637023,  1.0,  59.80367128551006
10000000000.0,  0.281778637023,  0.281778637023,  1.0,  98.5677483305335,  0.281778637023,  0.281778637023,  1.0,  57.28583896160126
svmcoef,  old_accuracy,  old_precision,  old_recall,  learning_time,  new_accuracy,  new_precision,  new_recall,  attack_time
0.001,  0.862252295795,  0.823529411765,  0.682926829268,  161.73580930382013,  0.702754954084,  0.0,  0.0,  72.25475737452507
0.0014497406703726315,  0.862252295795,  0.826086956522,  0.679674796748,  154.46346325427294,  0.702754954084,  0.0,  0.0,  74.07719995081425
0.0021017480113324893,  0.861768970517,  0.825742574257,  0.678048780488,  152.31207022070885,  0.702754954084,  0.0,  0.0,  72.74022153019905
0.003046989570903508,  0.860318994683,  0.827309236948,  0.669918699187,  150.68493901193142,  0.702754954084,  0.0,  0.0,  73.2829025760293
0.004417344703140069,  0.864185596907,  0.835341365462,  0.676422764228,  171.31648664921522,  0.702754954084,  0.0,  0.0,  68.28871159255505
0.006404004271197283,  0.867085548574,  0.84693877551,  0.674796747967,  160.38140784949064,  0.702754954084,  0.0,  0.0,  79.78177972137928
0.009284145445194745,  0.86805219913,  0.862288135593,  0.661788617886,  189.5488502085209,  0.702754954084,  0.0,  0.0,  68.91434124112129
