param,  old_acc,  old_prec,  old_rec,  old_f1, learn_t,  new_acc,  new_prec,  new_rec,  new_f1,   atk_t
3,  0.708,  0.338,  0.173,  0.229,  37.292,  0.682,  0.164,  0.067,  0.095,  1.781
3,  0.625,  0.19,  0.153,  0.17,  37.567,  0.612,  0.133,  0.1,  0.114,  1.745
param,  old_acc,  old_prec,  old_rec,  old_f1, learn_t,  new_acc,  new_prec,  new_rec,  new_f1,   atk_t
3,  0.745,  0.2,  0.007,  0.013,  39.236,  0.745,  0.2,  0.007,  0.013,  2.022
3,  0.67,  0.056,  0.02,  0.029,  44.059,  0.67,  0.056,  0.02,  0.029,  1.808
param,  old_acc,  old_prec,  old_rec,  old_f1, learn_t,  new_acc,  new_prec,  new_rec,  new_f1,   atk_t
3,  0.737,  0.278,  0.033,  0.06,  86.415,  0.737,  0.278,  0.033,  0.06,  1.81
3,  0.728,  0.341,  0.093,  0.147,  106.06,  0.727,  0.325,  0.087,  0.137,  2.183
param,  old_acc,  old_prec,  old_rec,  old_f1, learn_t,  new_acc,  new_prec,  new_rec,  new_f1,   atk_t
3,  0.718,  0.0,  0.0,  0.0,  269.029,  0.718,  0.0,  0.0,  0.0,  1.782
3,  0.747,  0.4,  0.027,  0.05,  306.908,  0.747,  0.4,  0.027,  0.05,  1.669
param,  old_acc,  old_prec,  old_rec,  old_f1, learn_t,  new_acc,  new_prec,  new_rec,  new_f1,   atk_t
3,  0.747,  0.333,  0.013,  0.026,  319.372,  0.747,  0.333,  0.013,  0.026,  1.659
3,  0.747,  0.25,  0.007,  0.013,  324.781,  0.747,  0.25,  0.007,  0.013,  1.824
param,  old_acc,  old_prec,  old_rec,  old_f1, learn_t,  new_acc,  new_prec,  new_rec,  new_f1,   atk_t
3,  0.748,  0.4,  0.013,  0.026,  271.523,  0.748,  0.4,  0.013,  0.026,  1.688
param,  old_acc,  old_prec,  old_rec,  old_f1, learn_t,  new_acc,  new_prec,  new_rec,  new_f1,   atk_t
3,  0.75,  0.0,  0.0,  0.0,  105.151,  0.75,  0.0,  0.0,  0.0,  1.001
param,  old_acc,  old_prec,  old_rec,  old_f1, learn_t,  new_acc,  new_prec,  new_rec,  new_f1,   atk_t
3,  0.79,  0.0,  0.0,  0.0,  94.341,  0.79,  0.0,  0.0,  0.0,  0.402
param,  old_acc,  old_prec,  old_rec,  old_f1, learn_t,  new_acc,  new_prec,  new_rec,  new_f1,   atk_t
3,  0.813,  1.0,  0.3,  0.462,  304.222,  0.813,  1.0,  0.3,  0.462,  0.913
