varying_param,  old_accuracy,  old_precision,  old_recall,  learning_time,  new_accuracy,  new_precision,  new_recall,  attack_time
1,  0.951184146931,  0.902866242038,  0.93410214168,  81.32437349110842,  0.947317544708,  0.901612903226,  0.920922570016,  10.297942914068699
7,  0.951184146931,  0.902866242038,  0.93410214168,  94.91907140612602,  0.941517641373,  0.907718120805,  0.891268533773,  6.750087164342403
14,  0.951184146931,  0.902866242038,  0.93410214168,  80.67425264418125,  0.938617689705,  0.912371134021,  0.874794069193,  9.968246690928936
21,  0.951184146931,  0.902866242038,  0.93410214168,  81.19037628173828,  0.93281778637,  0.911971830986,  0.853377265239,  11.662647768855095
28,  0.951184146931,  0.902866242038,  0.93410214168,  82.25251130759716,  0.926534557757,  0.911392405063,  0.830313014827,  11.026144430041313
35,  0.951184146931,  0.902866242038,  0.93410214168,  94.1633791923523,  0.92363460609,  0.911926605505,  0.818780889621,  7.41938728839159
42,  0.951184146931,  0.902866242038,  0.93410214168,  82.52559258788824,  0.920251329145,  0.912313432836,  0.805601317957,  11.682217203080654
49,  0.951184146931,  0.902866242038,  0.93410214168,  81.63254646211863,  0.915901401643,  0.91395793499,  0.787479406919,  11.039568342268467
55,  0.951184146931,  0.902866242038,  0.93410214168,  81.81825012713671,  0.91203479942,  0.915851272016,  0.771004942339,  12.00885284692049
62,  0.951184146931,  0.902866242038,  0.93410214168,  81.49078406393528,  0.907201546641,  0.919191919192,  0.749588138386,  12.029012620449066
69,  0.951184146931,  0.902866242038,  0.93410214168,  82.44832611083984,  0.900918318028,  0.917012448133,  0.728171334432,  11.440026439726353
76,  0.951184146931,  0.902866242038,  0.93410214168,  94.67334092408419,  0.889801836636,  0.916483516484,  0.686985172982,  9.304249882698059
83,  0.951184146931,  0.902866242038,  0.93410214168,  81.32868632674217,  0.886418559691,  0.918918918919,  0.67215815486,  11.274759829044342
90,  0.951184146931,  0.902866242038,  0.93410214168,  82.1270046159625,  0.881585306912,  0.922897196262,  0.650741350906,  11.589182153344154
97,  0.951184146931,  0.902866242038,  0.93410214168,  82.58272290974855,  0.874335427743,  0.9200968523,  0.626029654036,  11.70612595230341
103,  0.951184146931,  0.902866242038,  0.93410214168,  82.18480675667524,  0.871918801353,  0.919117647059,  0.617792421746,  12.426517233252525
110,  0.951184146931,  0.902866242038,  0.93410214168,  88.6632764339447,  0.871918801353,  0.925373134328,  0.612850082372,  9.967192731797695
117,  0.951184146931,  0.902866242038,  0.93410214168,  79.1130281239748,  0.866118898018,  0.925257731959,  0.591433278418,  15.82944118231535
124,  0.951184146931,  0.902866242038,  0.93410214168,  93.84176582843065,  0.861768970517,  0.925729442971,  0.574958813839,  8.761606745421886
131,  0.951184146931,  0.902866242038,  0.93410214168,  88.5348044782877,  0.85886901885,  0.924528301887,  0.565074135091,  9.963458895683289
138,  0.951184146931,  0.902866242038,  0.93410214168,  92.72906275093555,  0.85645239246,  0.92349726776,  0.556836902801,  8.862798161804676
145,  0.951184146931,  0.902866242038,  0.93410214168,  94.34912773966789,  0.853552440793,  0.922222222222,  0.546952224053,  8.808060951530933
151,  0.951184146931,  0.902866242038,  0.93410214168,  94.56841290742159,  0.849685838569,  0.920454545455,  0.533772652389,  8.903541654348373
158,  0.951184146931,  0.902866242038,  0.93410214168,  94.87577405571938,  0.848719188014,  0.92,  0.530477759473,  9.122416578233242
165,  0.951184146931,  0.902866242038,  0.93410214168,  94.91327938437462,  0.846785886902,  0.919075144509,  0.523887973641,  9.509833209216595
172,  0.951184146931,  0.902866242038,  0.93410214168,  91.62055106461048,  0.845335911068,  0.918367346939,  0.518945634267,  9.447939932346344
179,  0.951184146931,  0.902866242038,  0.93410214168,  68.79819305986166,  0.844369260512,  0.91788856305,  0.515650741351,  20.790686704218388
186,  0.951184146931,  0.902866242038,  0.93410214168,  83.76707254350185,  0.841469308845,  0.916417910448,  0.505766062603,  12.62959211319685
193,  0.951184146931,  0.902866242038,  0.93410214168,  94.91385853290558,  0.835186080232,  0.913043478261,  0.484349258649,  9.75837180018425
200,  0.951184146931,  0.902866242038,  0.93410214168,  71.83519454300404,  0.833736104398,  0.912225705329,  0.479406919275,  17.06423330307007
